ons_id,con_votes,lab_votes,lib_votes,oth_votes,snp,dup,sf,sdlp,uup,alliance,winning_party
S14000001,7535,4939,2846,1888,20205,0,0,0,0,0,SNP
S14000002,16398,3834,5018,0,20388,0,0,0,0,0,SNP
S14000003,7011,12728,1419,685,17929,0,0,0,0,0,SNP
S14000004,17421,2051,2482,0,21216,0,0,0,0,0,SNP
S14000005,16930,3248,6832,0,21040,0,0,0,0,0,SNP
S14000006,17943,6219,2158,0,20272,0,0,0,0,0,SNP
S14000007,21182,1734,2280,0,17064,0,0,0,0,0,con
N06000001,0,0,0,0,0,20874,0,0,2516,19055,DUP
N06000002,0,0,0,0,0,21135,23078,0,0,4824,SF
N06000003,0,0,0,550,0,11678,0,27079,1259,6786,SDLP
N06000004,0,0,0,7829,0,5220,20866,2985,0,1882,SF
S14000008,25747,2513,4287,0,20599,0,0,0,0,0,con
S14000009,5176,1936,11705,1139,11501,0,0,0,0,0,lib
S14000010,16182,6583,2283,0,21486,0,0,0,0,0,SNP
S14000011,6113,17056,1564,808,22680,0,0,0,0,0,SNP
S14000012,7380,11182,2966,0,24158,0,0,0,0,0,SNP
S14000013,22678,4745,3133,0,20873,0,0,0,0,0,con
S14000014,22611,4172,3540,0,18830,0,0,0,0,0,con
S14000015,10986,6045,3573,312,24361,0,0,0,0,0,SNP
S14000016,5149,10096,2468,1511,22355,0,0,0,0,0,SNP
S14000017,11207,13028,4262,1258,23727,0,0,0,0,0,SNP
N06000005,1043,0,0,685,0,16871,2120,902,5475,10165,DUP
S14000018,7455,4839,19523,1542,19672,0,0,0,0,0,SNP
S14000019,11961,12791,3760,1712,26113,0,0,0,0,0,SNP
N06000006,0,0,0,1731,0,15765,6128,6158,3599,5921,DUP
S14000020,15523,17270,4071,493,21156,0,0,0,0,0,SNP
S14000021,19451,6855,4174,0,24877,0,0,0,0,0,SNP
S14000022,6549,12748,3289,2064,23165,0,0,0,0,0,SNP
S14000023,11000,13117,6635,2667,25925,0,0,0,0,0,SNP
S14000024,8161,23745,3819,1357,12650,0,0,0,0,0,lab
S14000025,12848,7478,4971,2004,24830,0,0,0,0,0,SNP
S14000026,9283,4460,21766,1027,17997,0,0,0,0,0,lib
S14000028,14403,6243,3990,1885,29351,0,0,0,0,0,SNP
N06000007,0,0,0,751,0,0,21986,3446,21929,2650,SF
N06000008,0,0,0,3364,0,4773,9771,26881,1088,1267,SDLP
S14000029,3698,13276,1952,1429,19750,0,0,0,0,0,SNP
S14000030,5709,12791,1626,0,18357,0,0,0,0,0,SNP
S14000031,3806,11381,2394,1628,16982,0,0,0,0,0,SNP
S14000032,3558,13363,1093,0,15911,0,0,0,0,0,SNP
S14000033,6022,11319,2716,0,19678,0,0,0,0,0,SNP
S14000034,6237,13824,2786,1767,22829,0,0,0,0,0,SNP
S14000035,4224,12743,1435,802,17643,0,0,0,0,0,SNP
S14000036,6920,9477,2639,1276,21234,0,0,0,0,0,SNP
S14000037,23066,3052,5913,0,23885,0,0,0,0,0,SNP
S14000038,6265,11783,2560,0,19295,0,0,0,0,0,SNP
S14000039,15807,4123,5846,2787,26247,0,0,0,0,0,SNP
S14000040,11557,9009,2444,405,24216,0,0,0,0,0,SNP
S14000041,9449,15325,2903,2760,16568,0,0,0,0,0,SNP
N06000009,955,0,0,315,0,19586,1098,1758,8606,13087,DUP
S14000042,17056,10736,3037,0,22243,0,0,0,0,0,SNP
S14000043,14285,10517,4393,3029,25551,0,0,0,0,0,SNP
S14000044,12182,11915,3457,1421,25617,0,0,0,0,0,SNP
S14000045,10467,14328,3393,0,20033,0,0,0,0,0,SNP
N06000010,0,0,0,690,0,10936,20473,6384,2611,3526,SF
S14000046,22112,2432,2269,413,21599,0,0,0,0,0,con
S14000047,7150,14354,1675,619,20622,0,0,0,0,0,SNP
S14000027,3216,4093,637,0,6531,0,0,0,0,0,SNP
N06000011,0,0,0,1628,0,11000,20287,9449,4204,4211,SF
N06000012,0,0,0,246,0,20860,5632,2943,8139,6231,DUP
S14000048,14855,6702,2107,1114,23376,0,0,0,0,0,SNP
N06000013,1959,0,0,0,0,15390,0,0,4936,18358,Alliance
S14000049,5961,1707,19763,0,18447,0,0,0,0,0,lib
S14000050,22384,4961,3204,382,26882,0,0,0,0,0,SNP
S14000051,2287,1550,10381,1068,7874,0,0,0,0,0,lib
S14000052,11217,11451,3661,0,23353,0,0,0,0,0,SNP
S14000053,7571,10958,2918,0,21637,0,0,0,0,0,SNP
S14000054,19812,2471,3780,651,27362,0,0,0,0,0,SNP
S14000055,6900,2448,9820,1438,19263,0,0,0,0,0,SNP
S14000056,8054,18545,2791,629,23775,0,0,0,0,0,SNP
N06000014,0,0,0,0,0,15149,4887,2288,12460,8190,DUP
N06000015,0,0,0,1266,0,7619,16137,14517,3307,6916,SF
S14000057,17641,4275,2867,942,26895,0,0,0,0,0,SNP
N06000016,1476,0,0,1098,0,17705,555,1994,4023,10634,DUP
N06000017,0,0,0,0,0,20501,12291,4623,6197,6433,DUP
S14000058,22752,2431,6253,0,21909,0,0,0,0,0,con
S14000059,6436,12843,1890,1575,22396,0,0,0,0,0,SNP
N06000018,0,0,0,1493,0,9066,16544,7330,2774,3979,SF
